urgency,reward,fear,authority,curiosity,spam_ratio,high_risk,advisory_class
0.8,0.2,0.6,0.1,0.3,0.6,10,High_Urgency_Risk
0.7,0.1,0.5,0.2,0.4,0.5,8,High_Urgency_Risk
0.9,0.2,0.7,0.1,0.2,0.7,14,High_Urgency_Risk
0.2,0.8,0.1,0.1,0.4,0.5,9,Financial_Scam_Prone
0.3,0.7,0.2,0.1,0.5,0.6,11,Financial_Scam_Prone
0.1,0.9,0.2,0.1,0.3,0.7,13,Financial_Scam_Prone
0.4,0.3,0.8,0.2,0.4,0.6,10,Fear_Manipulation_Target
0.3,0.2,0.9,0.3,0.5,0.7,12,Fear_Manipulation_Target
0.5,0.2,0.7,0.4,0.3,0.6,9,Fear_Manipulation_Target
0.2,0.1,0.3,0.8,0.2,0.4,7,Authority_Exploited
0.3,0.2,0.4,0.9,0.3,0.5,8,Authority_Exploited
0.2,0.1,0.2,0.85,0.4,0.6,9,Authority_Exploited
0.5,0.5,0.6,0.5,0.6,0.8,15,Multi_Vector_High_Risk
0.6,0.6,0.7,0.6,0.5,0.85,17,Multi_Vector_High_Risk
0.7,0.5,0.6,0.7,0.6,0.9,18,Multi_Vector_High_Risk
0.1,0.2,0.2,0.1,0.3,0.2,2,Low_Risk_User
0.2,0.1,0.1,0.2,0.2,0.25,3,Low_Risk_User
0.15,0.2,0.1,0.1,0.2,0.2,1,Low_Risk_User
0.6,0.4,0.3,0.2,0.5,0.55,8,Moderate_Risk_User
0.5,0.3,0.4,0.3,0.4,0.5,7,Moderate_Risk_User
0.4,0.4,0.3,0.2,0.5,0.45,6,Moderate_Risk_User
